day 	 healths 	 deaths 	 latents 	 cured 	 pHome 	 pHospital
0	99994	0	6	0	0	0
1	99993	0	7	0	0	0
2	99992	0	8	0	0	0
3	99991	0	9	0	0	0
4	99990	0	10	0	0	0
5	99987	0	13	0	0	0
6	99983	0	17	0	0	0
7	99980	0	16	0	0	4
8	99978	0	16	0	0	6
9	99974	0	19	0	0	7
10	99973	0	19	0	0	8
11	99973	0	18	0	0	9
12	99972	0	18	0	0	10
13	99966	0	21	0	0	13
14	99964	0	19	1	0	16
15	99962	0	18	3	0	17
16	99956	0	22	6	0	16
17	99954	0	20	8	0	18
18	99948	0	25	9	0	18
19	99946	0	27	10	0	17
20	99942	0	30	12	0	16
21	99937	0	29	12	0	22
22	99934	0	30	13	0	23
23	99927	0	35	14	0	24
24	99919	0	37	18	0	26
25	99916	0	38	19	0	27
26	99911	0	37	21	0	31
27	99900	0	46	23	0	31
28	99894	0	48	28	0	30
29	99890	0	47	30	0	33
30	99884	0	50	39	0	27
31	99877	0	50	39	0	34
32	99866	0	53	42	0	39
33	99862	0	54	46	0	38
34	99855	0	56	50	0	39
35	99847	0	53	52	0	48
36	99843	0	51	55	0	51
37	99834	0	56	61	0	49
38	99827	0	57	64	0	52
39	99824	0	53	67	0	56
40	99815	0	51	76	0	58
41	99803	0	59	81	0	57
42	99794	0	61	85	0	60
43	99782	0	65	92	0	61
44	99775	0	68	96	0	61
45	99761	0	73	101	0	65
46	99753	0	74	107	0	66
47	99738	0	86	112	0	64
48	99724	0	91	117	0	68
49	99709	1	94	130	0	66
50	99695	1	99	139	0	66
51	99673	1	109	145	0	72
52	99665	1	110	151	0	73
53	99648	1	113	156	0	82
54	99636	1	117	163	0	83
55	99630	1	108	172	0	89
56	99616	1	108	184	0	91
57	99601	1	108	196	0	94
58	99590	1	105	203	0	101
59	99574	1	99	210	0	116
60	99559	1	106	217	0	117
61	99543	1	105	229	0	122
62	99522	1	114	244	0	119
63	99504	1	126	255	0	114
64	99490	1	126	268	0	115
65	99475	1	126	277	0	121
66	99459	1	131	287	0	122
67	99430	1	144	300	0	125
68	99406	1	153	309	0	131
69	99388	1	155	319	0	137
70	99374	1	148	326	0	151
71	99351	1	153	340	0	155
72	99328	1	162	361	0	148
73	99300	3	175	375	0	147
74	99281	3	178	399	0	139
75	99255	3	175	414	0	153
76	99227	4	179	425	0	165
77	99203	4	185	440	0	168
78	99177	4	197	459	0	163
79	99156	4	195	475	0	170
80	99127	4	201	496	0	172
81	99094	4	206	514	0	182
82	99070	5	211	530	0	184
83	99044	5	211	543	0	197
84	99011	5	216	560	0	208
85	98986	6	217	578	0	213
86	98951	6	226	599	0	218
87	98921	6	235	618	0	220
88	98895	7	232	641	0	225
89	98854	7	240	667	0	232
90	98820	7	250	685	0	238
91	98789	7	255	701	0	248
92	98755	8	256	724	0	257
93	98722	9	264	752	0	253
94	98687	10	264	774	0	265
95	98648	10	273	799	0	270
96	98607	10	288	829	0	266
97	98560	10	294	855	0	281
98	98522	10	298	870	0	300
99	98488	10	301	900	0	301
100	98488	10	301	900	0	301
参数取值如下：Param [cityPopulation=100000, familySize=4, companySize=100, spreadRateFamily=0.02, spreadRateCompany=0.01, immuEffect=0.8, immuRate=0.8, latentPeriod=7, healingRateHome=0.01, deathRateHome=0.01, healingRateHospital=0.1, deathRateHospital=0.001, hospitalSize=1000, initPatients=[0, 100, 800, 900]]
486 cost 
100 天后 情况如下
死亡人数：10
自愈+治愈人数:900
现有病人数量:301
现有潜伏期人数:301
健康人数:98488
